Signatur;PID;Mappe;Seiten XML;lokal;METS;Backup;GAMS-URLs;Bildmasse;Objekttyp;Autor;Datum;Sprache METS;Sprache erkannt;Transkribiert;Befund
SZ-AAL/B1.191;o:szd.3123;SZ_AAL_B1.191;5;5;5;5;OK;OK;Brief;Zweig, Stefan;21.1.1942;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.192;o:szd.3124;SZ_AAL_B1.192;3;3;3;3;OK;OK;Brief;Zweig, Stefan;01.1942;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.193;o:szd.3125;SZ_AAL_B1.193;3;3;3;3;OK;OK;Brief;Zweig, Lotte;21.1.1942;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.194;o:szd.3126;SZ_AAL_B1.194;3;3;3;3;OK;OK;Brief;Zweig, Lotte;01.1942;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.195;o:szd.3127;SZ_AAL_B1.195;3;3;3;3;OK;OK;Brief;Zweig, Stefan;1.2.1942;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.196;o:szd.3128;SZ_AAL_B1.196;3;3;3;3;OK;OK;Brief;Zweig, Lotte;1.2.1942;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.197;o:szd.3129;SZ_AAL_B1.197;3;3;3;3;OK;OK;Brief;Zweig, Stefan;10.2.1942;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.198;o:szd.3130;SZ_AAL_B1.198;3;3;3;3;OK;OK;Brief;Zweig, Lotte;10.2.1942;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.199;o:szd.3131;SZ_AAL_B1.199;5;5;5;5;OK;OK;Brief;Zweig, Lotte;21.2.1942;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.2;o:szd.3132;SZ_AAL_B1.2;3;3;3;3;OK;OK;Brief;Zweig, Stefan;02.1939;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.20;o:szd.3133;SZ_AAL_B1.20;3;3;3;3;OK;OK;Brief;Zweig, Stefan;11.1939;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.200;o:szd.3134;SZ_AAL_B1.200;5;5;5;5;OK;OK;Brief;Zweig, Stefan;21.2.1942;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.21;o:szd.3135;SZ_AAL_B1.21;3;3;3;3;OK;OK;Brief;Zweig, Stefan;10.1939;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.22;o:szd.3136;SZ_AAL_B1.22;3;3;3;3;OK;OK;Brief;Zweig, Stefan;23.9.1939;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.23;o:szd.3137;SZ_AAL_B1.23;3;3;3;3;OK;OK;Brief;Zweig, Stefan;14.10.1939;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.24;o:szd.3138;SZ_AAL_B1.24;3;3;3;3;OK;OK;Brief;Zweig, Stefan;12.3.1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.25;o:szd.3139;SZ_AAL_B1.25;3;3;3;3;OK;OK;Brief;Zweig, Stefan;20.10.1939;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.26;o:szd.3140;SZ_AAL_B1.26;3;3;3;3;OK;OK;Brief;Zweig, Stefan;19.9.1939;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.27;o:szd.3141;SZ_AAL_B1.27;5;5;5;5;OK;OK;Brief;Zweig, Lotte;25.6.1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.28;o:szd.3142;SZ_AAL_B1.28;3;3;3;3;OK;OK;Brief;Zweig, Lotte;25.6.1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.29;o:szd.3143;SZ_AAL_B1.29;3;3;3;3;OK;OK;Brief;Zweig, Lotte;8.7.1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.3;o:szd.3144;SZ_AAL_B1.3;3;3;3;3;OK;OK;Brief;Zweig, Stefan;01.1939;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.30;o:szd.3145;SZ_AAL_B1.30;5;5;5;5;OK;OK;Brief;Zweig, Lotte;07.1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.31;o:szd.3146;SZ_AAL_B1.31;3;3;3;3;OK;OK;Brief;Zweig, Lotte;13.7.1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.32;o:szd.3147;SZ_AAL_B1.32;5;5;5;5;OK;OK;Brief;Zweig, Lotte;18.7.1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.33;o:szd.3148;SZ_AAL_B1.33;3;3;3;3;OK;OK;Brief;Zweig, Lotte;18.7.1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.34;o:szd.3149;SZ_AAL_B1.34;5;5;5;5;OK;OK;Brief;Zweig, Lotte;21.7.1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.35;o:szd.3150;SZ_AAL_B1.35;7;7;7;7;OK;OK;Brief;Zweig, Lotte;25.7.1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.36;o:szd.3151;SZ_AAL_B1.36;3;3;3;3;OK;OK;Brief;Zweig, Stefan;27.7.1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.37;o:szd.3152;SZ_AAL_B1.37;3;3;3;3;OK;OK;Brief;Zweig, Stefan;28.7.1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.38;o:szd.3153;SZ_AAL_B1.38;3;3;3;3;OK;OK;Brief;Zweig, Stefan;07.1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.39;o:szd.3154;SZ_AAL_B1.39;3;3;3;3;OK;OK;Brief;Zweig, Stefan;07.1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.4;o:szd.3155;SZ_AAL_B1.4;5;5;5;5;OK;OK;Brief;Zweig, Stefan;11.9.1939;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.40;o:szd.3156;SZ_AAL_B1.40;5;5;5;5;OK;OK;Brief;Zweig, Lotte;4.8.1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.41;o:szd.3157;SZ_AAL_B1.41;5;5;5;5;OK;OK;Brief;Zweig, Lotte;14.8.1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.42;o:szd.3158;SZ_AAL_B1.42;5;5;5;5;OK;OK;Brief;Zweig, Stefan;1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.43;o:szd.3159;SZ_AAL_B1.43;3;3;3;3;OK;OK;Brief;Zweig, Lotte;08.1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.44;o:szd.3160;SZ_AAL_B1.44;3;3;3;3;OK;OK;Brief;Zweig, Stefan;23.8.1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.45;o:szd.3161;SZ_AAL_B1.45;3;3;3;3;OK;OK;Brief;Zweig, Lotte;23.8.1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.46;o:szd.3162;SZ_AAL_B1.46;3;3;3;3;OK;OK;Brief;Zweig, Lotte;6.9.1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.47;o:szd.3163;SZ_AAL_B1.47;3;3;3;3;OK;OK;Brief;Zweig, Lotte;10.9.1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.48;o:szd.3164;SZ_AAL_B1.48;3;3;3;3;OK;OK;Brief;Zweig, Lotte;15.9.1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.49;o:szd.3165;SZ_AAL_B1.49;3;3;3;3;OK;OK;Brief;Zweig, Stefan;15.9.1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.5;o:szd.3166;SZ_AAL_B1.5;3;3;3;3;OK;OK;Brief;Zweig, Stefan;1939;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.50;o:szd.3167;SZ_AAL_B1.50;3;3;3;3;OK;OK;Brief;Zweig, Stefan;09.1940;Deutsch (pauschal);-;nein;OK
